Vmag,Plx,e_Plx,B-V,Amag,Temperature,Amag^2,log_Vmag,Vmag-Amag
7.51,3.1,0.83,1.029,14.966808,4674.17173297854,224.00534170886402,2.0162354657760435,-7.4568080000000005
8.44,3.45,1.06,1.353,16.129095,4028.902121111139,260.147705519025,2.1329823086078656,-7.689095
7.7,5.07,0.98,1.018,16.22504,4699.932256245115,263.2519230016,2.0412203288596382,-8.52504
7.38,1.82,1.0,0.017,13.680357,9918.01587814785,187.15216764744903,1.998773638612381,-6.300357000000001
5.12,4.82,0.62,1.355,13.535235,4025.4950199700606,183.202586505225,1.6331544390514163,-8.415235
8.3,5.23,1.12,0.411,16.89251,6822.203449258035,285.3568941001,2.1162555148025524,-8.59251
5.79,8.87,0.61,-0.038,15.529618,10625.406633713012,241.16903522592398,1.7561322915849038,-9.739618
8.2,5.22,1.1,0.971,16.788353,4813.462398405728,281.848796452609,2.1041341542702074,-8.588353000000001
8.44,4.21,1.1,0.996,16.561409,4752.362597933976,274.28026806528106,2.1329823086078656,-8.121409000000002
8.88,1.84,0.84,0.01,15.204089,10002.18852270849,231.16432231992098,2.1838015570040787,-6.324088999999999
7.46,3.91,0.82,0.0,15.420884,10125.237191650855,237.80366334145597,2.0095554142156695,-7.960883999999999
7.9,11.62,1.42,0.559,18.22603,6132.8607634715145,332.18816956090006,2.066862759472976,-10.326030000000001
6.66,6.07,0.95,0.961,15.575943,4838.369718850402,242.610000339249,1.8961194845522977,-8.915943
7.89,3.05,0.67,1.648,15.311499,3583.673849948927,234.442001627001,2.065596134857783,-7.421499
8.91,5.46,1.06,1.017,17.595963,4702.288978033507,309.617913897369,2.187174241482718,-8.685963000000001
5.94,8.04,1.04,0.336,15.46628,7240.480910063715,239.20581703839997,1.7817091333745536,-9.52628
8.68,4.98,0.83,1.205,17.166147,4298.939714665743,294.67660282560894,2.1610215286722587,-8.486146999999999
8.04,5.81,0.82,0.953,16.860882,4858.492605410197,284.289341817924,2.0844290831908747,-8.820882000000001
8.82,11.91,1.23,0.637,19.199558,5826.348777503776,368.623027395364,2.1770218700187,-10.379558
6.77,5.1,0.82,1.306,15.307852,4110.73937362365,234.33033285390403,1.9125010869241836,-8.537852
8.16,8.43,0.71,0.542,17.789137,6204.338617768767,316.453395204769,2.0992441689760155,-9.629137
8.34,3.99,1.05,0.34,16.344864,7216.76297425465,267.154579178496,2.1210632163706555,-8.004864000000001
7.87,1.84,0.72,1.47,14.194089,3839.195017835037,201.472162539921,2.063058062429312,-6.324089
9.67,15.75,1.34,0.766,20.656403,5385.3365310517065,426.68698489840904,2.269028309465203,-10.986403000000001
8.62,1.5,0.73,0.184,14.500456,8288.937030539451,210.263224207936,2.1540850846756014,-5.880456000000001
8.91,8.57,1.21,0.52,18.574903,6299.551258613002,345.02702145940896,2.187174241482718,-9.664902999999999
9.18,2.16,1.59,0.981,15.852269,4788.824417615377,251.294432448361,2.217027204632399,-6.672269
8.02,4.26,0.76,1.117,16.16705,4478.31157034882,261.3735057025,2.081938421878423,-8.14705
7.86,8.26,0.94,0.971,17.4449,4813.462398405728,304.32453601000003,2.061786606441115,-9.584900000000001
8.0,3.77,1.07,1.127,15.881707,4457.139998090821,252.228617233849,2.0794415416798357,-7.8817070000000005
8.38,0.46,0.68,0.005,11.6937895,10063.293728683295,136.74471287031022,2.125847914493992,-3.3137894999999986
7.69,3.64,1.38,0.414,15.495507,6806.558765443766,240.110737187049,2.0399207835175526,-7.8055069999999995
9.17,5.44,1.15,0.452,17.847996,6614.917719180505,318.55096121601593,2.2159372862683733,-8.677995999999998
6.99,4.17,0.81,1.538,15.09068,3737.231177293504,227.72862286240002,1.944480556245719,-8.10068
5.45,9.75,1.05,-0.034,15.395022,10570.16548926032,237.00670238048403,1.6956156086751528,-9.945022000000002
5.3,5.44,0.88,1.549,13.977995,3721.263078615097,195.38434422002499,1.667706820558076,-8.677995
7.28,1.49,1.03,1.81,13.145931,3379.885043253952,172.815501856761,1.9851308622085946,-5.865930999999999
8.7,11.93,1.12,0.774,19.083202,5360.313810234847,364.168598572804,2.163323025660538,-10.383202
8.09,2.92,1.05,1.664,15.416914,3562.420234560194,237.681237283396,2.0906287310704004,-7.326914
5.94,2.31,0.58,0.7,12.75806,5601.697844213074,162.76809496360002,1.7817091333745536,-6.81806
9.18,16.14,1.07,0.682,20.219517,5663.9725514950815,408.828867713289,2.217027204632399,-11.039517
